alpha_3_code,country,latitude_average,longitude_average,date,quarter,Thousand Barrels,text
ALB,Albania,41,20,2013-09-30,2013Q3,20.0,Albania 20.0 Thousand Barrels
ARG,Argentina,-34,-64,2010-12-31,2010Q4,1.0,Argentina 1.0 Thousand Barrels
ARG,Argentina,-34,-64,2011-09-30,2011Q3,1.0,Argentina 1.0 Thousand Barrels
ARG,Argentina,-34,-64,2011-12-31,2011Q4,2.0,Argentina 2.0 Thousand Barrels
ARG,Argentina,-34,-64,2012-06-30,2012Q2,2.0,Argentina 2.0 Thousand Barrels
ARG,Argentina,-34,-64,2012-09-30,2012Q3,1.0,Argentina 1.0 Thousand Barrels
ARG,Argentina,-34,-64,2012-12-31,2012Q4,1.0,Argentina 1.0 Thousand Barrels
ARG,Argentina,-34,-64,2013-06-30,2013Q2,1.0,Argentina 1.0 Thousand Barrels
ARG,Argentina,-34,-64,2013-12-31,2013Q4,1.0,Argentina 1.0 Thousand Barrels
ARG,Argentina,-34,-64,2014-03-31,2014Q1,1.0,Argentina 1.0 Thousand Barrels
ARG,Argentina,-34,-64,2014-06-30,2014Q2,1.0,Argentina 1.0 Thousand Barrels
ARG,Argentina,-34,-64,2014-09-30,2014Q3,1.0,Argentina 1.0 Thousand Barrels
ARG,Argentina,-34,-64,2017-03-31,2017Q1,1.0,Argentina 1.0 Thousand Barrels
ABW,Aruba,12.5,-69.9667,2010-06-30,2010Q2,1.0,Aruba 1.0 Thousand Barrels
ABW,Aruba,12.5,-69.9667,2011-03-31,2011Q1,1.0,Aruba 1.0 Thousand Barrels
ABW,Aruba,12.5,-69.9667,2013-12-31,2013Q4,25.0,Aruba 25.0 Thousand Barrels
AUS,Australia,-27,133,2010-03-31,2010Q1,19.0,Australia 19.0 Thousand Barrels
AUS,Australia,-27,133,2010-06-30,2010Q2,56.0,Australia 56.0 Thousand Barrels
AUS,Australia,-27,133,2010-09-30,2010Q3,53.0,Australia 53.0 Thousand Barrels
AUS,Australia,-27,133,2010-12-31,2010Q4,90.0,Australia 90.0 Thousand Barrels
